日付,始値,高値,安値,終値,出来高,調整後終値
2022/7/6,57550,58870,57310,58730,543200,58730
2022/7/5,58750,59160,58410,58610,312400,58610
2022/7/4,57600,58410,57400,58400,338200,58400
2022/7/1,58760,59090,57090,57360,552800,57360
2022/6/30,59290,59290,58500,58680,479000,58680
2022/6/29,59050,59170,58480,58970,811300,58970
2022/6/28,58440,59400,58430,59400,455700,59400
2022/6/27,58000,58460,57400,58380,450500,58380
2022/6/24,57780,58280,57670,57840,429200,57840
2022/6/23,57510,58050,57220,57240,395300,57240
2022/6/22,57480,58020,57140,57680,476100,57680
2022/6/21,56970,57770,56680,57560,487100,57560
2022/6/20,56290,56610,55780,56200,523300,56200
2022/6/17,55810,56950,55510,56360,715500,56360
2022/6/16,56900,57600,56320,56480,474300,56480
2022/6/15,56820,56920,56010,56210,645300,56210
2022/6/14,57350,57930,57090,57250,488600,57250
2022/6/13,57970,58110,57460,57810,397300,57810
2022/6/10,59300,59300,58410,58940,479700,58940
2022/6/9,59590,60430,59590,59900,629000,59900
2022/6/8,58600,59150,58500,58950,460700,58950
2022/6/7,58070,58990,57840,58440,482400,58440
2022/6/6,56740,58040,56710,57830,401200,57830
2022/6/3,57100,57660,56630,57390,595700,57390
2022/6/2,58250,58310,57320,57470,532000,57470
2022/6/1,57280,58420,57230,58420,461100,58420
2022/5/31,58130,58590,57420,57420,748700,57420
2022/5/30,57700,58350,57030,58330,941500,58330
2022/5/27,57890,57890,56510,56700,590900,56700
2022/5/26,56870,58040,56780,57490,610700,57490
2022/5/25,58740,58810,57200,57200,949800,57200
2022/5/24,59840,60040,59350,59740,464100,59740
2022/5/23,59180,60250,59070,59810,573100,59810
2022/5/20,59440,59750,58890,59290,523400,59290
2022/5/19,58270,59860,58250,59160,828300,59160
2022/5/18,57830,59460,57610,59270,892200,59270
2022/5/17,56600,57750,56250,57260,449500,57260
2022/5/16,57840,57970,56230,56340,617700,56340
2022/5/13,57180,57730,56880,57250,544100,57250
2022/5/12,57190,58340,57120,57250,733100,57250
2022/5/11,57140,58880,55870,58190,1892500,58190
2022/5/10,55600,56700,55320,56360,1046800,56360
2022/5/9,56900,57200,56180,56220,656700,56220
2022/5/6,58010,58470,56820,57840,1043600,57840
